Precinct,total_hh,samesex_hh,samesex_pct
20,696,0,0.0
22,3548,0,0.0
23,2479,0,0.0
24,2746,0,0.0
25,4500,0,0.0
35,3599,0,0.0
36,3876,0,0.0
37,2790,0,0.0
38,2117,0,0.0
39,4127,0,0.0
40,3442,0,0.0
41,3144,0,0.0
42,1070,0,0.0
43,1054,0,0.0
137,880,0,0.0
