Precinct,pop_total,pop_18_44,pop_45_up,pct_18_44,pct_45_up
20,2288,1824.3983572445857,313.37228335313546,79.7,13.7
22,6342,4287.018037354461,1210.1426271308317,67.6,19.1
23,4485,2770.2340864439607,1241.6969720430643,61.8,27.7
24,4487,3110.255061372148,1164.5489846267371,69.3,26.0
25,7255,4015.5249604741753,2437.358816455365,55.3,33.6
35,5985,3228.6128404885594,2006.989375519605,53.9,33.5
36,7453,4507.17898106631,1720.725613673394,60.5,23.1
37,6950,5523.9164168260395,1015.0877045572961,79.5,14.6
38,4426,2831.416221401251,806.3597398631213,64.0,18.2
39,8817,4480.070522813813,2470.4002462747776,50.8,28.0
40,6929,3462.422790150676,2382.3934205817445,50.0,34.4
41,6852,3715.76438438843,1527.6622899127087,54.2,22.3
42,2913,1533.6316209340716,663.696037141809,52.6,22.8
43,2418,1367.581170838269,543.6578593066382,56.6,22.5
137,1751,1106.270584255746,475.32163627184195,63.2,27.1
