ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,CITYWIDE,6371
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,DEM,5681
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,REP,600
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,STG,48
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,LIB,42
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,1,6,,NPN,0
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,CITYWIDE,1474
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,DEM,1412
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,REP,59
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,STG,0
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,LIB,3
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,1,6,,NPN,0
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,"Wendy ""Hope Dealer"" Hamilton",DEM,110
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,44
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Eleanor H. Norton,DEM,1172
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Kelly Mikel Williams,DEM,77
