ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Write-in,DEM,8
6/21/2022 12:00:00 AM,Primary Election,15,REP DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Nelson F. Rimensnyder,REP,52
6/21/2022 12:00:00 AM,Primary Election,15,REP DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Write-in,REP,5
6/21/2022 12:00:00 AM,Primary Election,15,REP DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,15,REP DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,2
6/21/2022 12:00:00 AM,Primary Election,16,STG DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,16,STG DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,16,STG DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,17,LIB DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,17,LIB DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,17,LIB DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,6
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,4
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,James Butler,DEM,36
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Muriel E. Bowser,DEM,608
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,"Trayon ""Washington DC"" White",DEM,167
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Robert White,DEM,589
6/21/2022 12:00:00 AM,Primary Election,18,DEM MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Write-in,DEM,2
6/21/2022 12:00:00 AM,Primary Election,19,REP MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Stacia R. Hall,REP,50
6/21/2022 12:00:00 AM,Primary Election,19,REP MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Write-in,REP,8
6/21/2022 12:00:00 AM,Primary Election,19,REP MAYOR OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,19,REP MAYOR OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,20,STG MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,20,STG MAYOR OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,20,STG MAYOR OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,21,LIB MAYOR OF THE DISTRICT OF COLUMBIA,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,21,LIB MAYOR OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,21,LIB MAYOR OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,22,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Erin Palmer,DEM,672
6/21/2022 12:00:00 AM,Primary Election,22,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Phil Mendelson,DEM,646
6/21/2022 12:00:00 AM,Primary Election,22,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,DEM,4
6/21/2022 12:00:00 AM,Primary Election,22,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,22,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,90
6/21/2022 12:00:00 AM,Primary Election,23,REP CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Nate Derenge,REP,50
6/21/2022 12:00:00 AM,Primary Election,23,REP CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,REP,4
6/21/2022 12:00:00 AM,Primary Election,23,REP CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,23,REP CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,5
6/21/2022 12:00:00 AM,Primary Election,24,STG CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,24,STG CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,24,STG CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,25,LIB CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,25,LIB CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,25,LIB CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Lisa Gore,DEM,339
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Dexter Williams,DEM,115
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Anita Bonds,DEM,451
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Nate Fleming,DEM,369
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,DEM,7
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,5
6/21/2022 12:00:00 AM,Primary Election,26,DEM AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,126
6/21/2022 12:00:00 AM,Primary Election,27,REP AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Giuseppe Niosi,REP,52
6/21/2022 12:00:00 AM,Primary Election,27,REP AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,REP,3
6/21/2022 12:00:00 AM,Primary Election,27,REP AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,27,REP AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,4
6/21/2022 12:00:00 AM,Primary Election,28,STG AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,28,STG AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,28,STG AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,29,LIB AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,29,LIB AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,29,LIB AT-LARGE MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,33,DEM MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,Charles Allen,DEM,1189
6/21/2022 12:00:00 AM,Primary Election,33,DEM MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,33,DEM MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,Write-in,DEM,32
6/21/2022 12:00:00 AM,Primary Election,33,DEM MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,UNDER VOTES,,191
6/21/2022 12:00:00 AM,Primary Election,37,REP MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,Write-in,REP,15
6/21/2022 12:00:00 AM,Primary Election,37,REP MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,37,REP MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,UNDER VOTES,,44
6/21/2022 12:00:00 AM,Primary Election,41,STG MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,41,STG MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,41,STG MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,45,LIB MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,45,LIB MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,45,LIB MEMBER OF THE COUNCIL OF THE DISTRICT OF COLUMBIA WARD SIX,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,Write-in,DEM,9
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,Ryan L. Jones,DEM,273
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,Bruce V. Spiva,DEM,477
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,Brian Schwalb,DEM,547
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,2
6/21/2022 12:00:00 AM,Primary Election,46,DEM ATTORNEY GENERALFOR THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,104
6/21/2022 12:00:00 AM,Primary Election,47,REP ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,Write-in,REP,16
6/21/2022 12:00:00 AM,Primary Election,47,REP ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,47,REP ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,43
6/21/2022 12:00:00 AM,Primary Election,48,STG ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,48,STG ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,48,STG ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,49,LIB ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,49,LIB ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,49,LIB ATTORNEY GENERAL FOR THE DISTRICT OF COLUMBIA,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,50,DEM UNITED STATES REPRESENTATIVE,1,6,Linda L. Gray,DEM,515
6/21/2022 12:00:00 AM,Primary Election,50,DEM UNITED STATES REPRESENTATIVE,1,6,Oye Owolewa,DEM,637
6/21/2022 12:00:00 AM,Primary Election,50,DEM UNITED STATES REPRESENTATIVE,1,6,Write-in,DEM,12
6/21/2022 12:00:00 AM,Primary Election,50,DEM UNITED STATES REPRESENTATIVE,1,6,OVER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,50,DEM UNITED STATES REPRESENTATIVE,1,6,UNDER VOTES,,247
6/21/2022 12:00:00 AM,Primary Election,51,REP UNITED STATES REPRESENTATIVE,1,6,Write-in,REP,13
6/21/2022 12:00:00 AM,Primary Election,51,REP UNITED STATES REPRESENTATIVE,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,51,REP UNITED STATES REPRESENTATIVE,1,6,UNDER VOTES,,46
6/21/2022 12:00:00 AM,Primary Election,52,STG UNITED STATES REPRESENTATIVE,1,6,Write-in,STG,0
6/21/2022 12:00:00 AM,Primary Election,52,STG UNITED STATES REPRESENTATIVE,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,52,STG UNITED STATES REPRESENTATIVE,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,53,LIB UNITED STATES REPRESENTATIVE,1,6,Write-in,LIB,3
6/21/2022 12:00:00 AM,Primary Election,53,LIB UNITED STATES REPRESENTATIVE,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,53,LIB UNITED STATES REPRESENTATIVE,1,6,UNDER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,54,DEM NATIONAL COMMITTEEMAN,1,6,Kevin B. Chavous,DEM,982
6/21/2022 12:00:00 AM,Primary Election,54,DEM NATIONAL COMMITTEEMAN,1,6,Write-in,DEM,15
6/21/2022 12:00:00 AM,Primary Election,54,DEM NATIONAL COMMITTEEMAN,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,54,DEM NATIONAL COMMITTEEMAN,1,6,UNDER VOTES,,415
6/21/2022 12:00:00 AM,Primary Election,55,DEM NATIONAL COMMITTEEWOMAN,1,6,Denise L. Reed,DEM,957
6/21/2022 12:00:00 AM,Primary Election,55,DEM NATIONAL COMMITTEEWOMAN,1,6,Write-in,DEM,13
6/21/2022 12:00:00 AM,Primary Election,55,DEM NATIONAL COMMITTEEWOMAN,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,55,DEM NATIONAL COMMITTEEWOMAN,1,6,UNDER VOTES,,442
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,Charles E. Wilson,DEM,680
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,James S. Bubar,DEM,541
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,Dave Donaldson,DEM,556
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,Write-in,DEM,43
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,Keith Hasan-Towery,DEM,572
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,James J. Sydnor,DEM,545
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,Matt LaFortune,DEM,550
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,John Green,DEM,586
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,OVER VOTES,,7
6/21/2022 12:00:00 AM,Primary Election,56,DEM AT-LARGE COMMITTEEMAN,1,6,UNDER VOTES,,5804
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Monica L. Roaché,DEM,576
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Linda L. Gray,DEM,713
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Dionna Maria Lewis,DEM,550
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,"Patricia ""Pat"" Elwood",DEM,566
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Andria Thomas,DEM,568
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Maria Patricia Corrales,DEM,559
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Chioma J. Iwuoha,DEM,563
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,Write-in,DEM,32
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,57,DEM AT-LARGE COMMITTEEWOMAN,1,6,UNDER VOTES,,5757
6/21/2022 12:00:00 AM,Primary Election,63,DEM COMMITTEEMAN WARD SIX,1,6,Don Dinan,DEM,619
6/21/2022 12:00:00 AM,Primary Election,63,DEM COMMITTEEMAN WARD SIX,1,6,Frank Avery,DEM,775
6/21/2022 12:00:00 AM,Primary Election,63,DEM COMMITTEEMAN WARD SIX,1,6,Write-in,DEM,16
6/21/2022 12:00:00 AM,Primary Election,63,DEM COMMITTEEMAN WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,63,DEM COMMITTEEMAN WARD SIX,1,6,UNDER VOTES,,1414
6/21/2022 12:00:00 AM,Primary Election,71,DEM COMMITTEEWOMAN WARD SIX,1,6,"Dorinda ""Rindi"" White",DEM,711
6/21/2022 12:00:00 AM,Primary Election,71,DEM COMMITTEEWOMAN WARD SIX,1,6,Melissa Laitner,DEM,693
6/21/2022 12:00:00 AM,Primary Election,71,DEM COMMITTEEWOMAN WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,71,DEM COMMITTEEWOMAN WARD SIX,1,6,Write-in,DEM,10
6/21/2022 12:00:00 AM,Primary Election,71,DEM COMMITTEEWOMAN WARD SIX,1,6,UNDER VOTES,,1410
6/21/2022 12:00:00 AM,Primary Election,79,REP CHAIRPERSON WARD SIX,1,6,Write-in,REP,12
6/21/2022 12:00:00 AM,Primary Election,79,REP CHAIRPERSON WARD SIX,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,79,REP CHAIRPERSON WARD SIX,1,6,UNDER VOTES,,47
6/21/2022 12:00:00 AM,Primary Election,82,LIB CHAIR,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,82,LIB CHAIR,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,82,LIB CHAIR,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,83,LIB VICE CHAIR,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,83,LIB VICE CHAIR,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,83,LIB VICE CHAIR,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,84,LIB SECRETARY,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,84,LIB SECRETARY,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,84,LIB SECRETARY,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,85,LIB TREASURER,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,85,LIB TREASURER,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,85,LIB TREASURER,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,86,LIB AT-LARGE MEMBER ONE,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,86,LIB AT-LARGE MEMBER ONE,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,86,LIB AT-LARGE MEMBER ONE,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,87,LIB AT-LARGE MEMBER TWO,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,87,LIB AT-LARGE MEMBER TWO,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,87,LIB AT-LARGE MEMBER TWO,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,88,LIB AT-LARGE MEMBER FOUR,1,6,OVER VOTES,,0
6/21/2022 12:00:00 AM,Primary Election,88,LIB AT-LARGE MEMBER FOUR,1,6,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,88,LIB AT-LARGE MEMBER FOUR,1,6,Write-in,LIB,2
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,CITYWIDE,930
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,DEM,810
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,REP,112
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,STG,4
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,LIB,4
6/21/2022 12:00:00 AM,Primary Election,-2,REGISTERED VOTERS - TOTAL,2,2,,NPN,0
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,CITYWIDE,98
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,DEM,93
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,REP,5
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,STG,0
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,LIB,0
6/21/2022 12:00:00 AM,Primary Election,-1,BALLOTS CAST - TOTAL,2,2,,NPN,0
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,UNDER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,OVER VOTES,,1
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,"Wendy ""Hope Dealer"" Hamilton",DEM,14
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,Write-in,DEM,0
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,Kelly Mikel Williams,DEM,10
6/21/2022 12:00:00 AM,Primary Election,14,DEM DELEGATE TO THE HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,2,2,Eleanor H. Norton,DEM,67
